BF8025D3  // m=10  re=-1.000000  im=0.000000
BF4FBF16  // m=11  re=-0.809017  im=-0.587785
BE9EBF73  // m=12  re=-0.309017  im=-0.951057
3E9EBF73  // m=13  re=0.309017  im=-0.951057
3F4FBF16  // m=14  re=0.809017  im=-0.587785
3F80A60D  // m=15  re=1.000000  im=-0.000000
3F4F3F16  // m=16  re=0.809017  im=0.587785
3E9E3F73  // m=17  re=0.309017  im=0.951057
BE9E3F73  // m=18  re=-0.309017  im=0.951057
BF4F3F16  // m=19  re=-0.809017  im=0.587785
BF802630  // m=20  re=-1.000000  im=0.000000
BF4FBF16  // m=21  re=-0.809017  im=-0.587785
BE9EBF73  // m=22  re=-0.309017  im=-0.951057
